scorer,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,bodybase,bodybase,bodybase,tailbase,tailbase,tailbase,headbase,headbase,headbase,noses,noses,noses,tailtail,tailtail,tailtail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
92,1398.02,905.367,1.0,1425.917,932.964,1.0,1358.056,906.556,1.0,1319.559,920.959,1.0,1420.196,953.976,1.0
93,1394.687,907.541,1.0,1423.694,933.434,1.0,1357.098,911.818,1.0,1316.15,919.449,1.0,1420.218,955.218,1.0
94,1394.119,906.023,1.0,1424.868,938.134,1.0,1357.913,913.896,1.0,1319.271,925.908,1.0,1420.749,955.985,1.0
95,1397.237,907.659,1.0,1425.649,938.586,1.0,1355.425,919.916,1.0,1322.022,925.423,1.0,1424.641,958.424,1.0
96,1397.753,907.69,1.0,1427.487,939.998,1.0,1357.767,920.229,1.0,1321.256,936.268,1.0,1423.024,955.709,1.0
97,1398.168,908.821,1.0,1429.599,939.896,1.0,1358.253,924.788,1.0,1329.09,940.785,1.0,1427.481,956.786,1.0
98,1398.534,911.947,1.0,1435.97,939.209,0.9990000128746033,1358.349,929.417,1.0,1326.994,944.708,1.0,1428.681,955.984,1.0
99,1399.416,912.064,1.0,1435.722,939.217,0.9990000128746033,1358.671,931.345,1.0,1331.045,944.533,1.0,1428.988,955.949,1.0
100,1397.679,912.777,1.0,1435.638,939.517,1.0,1359.419,935.752,1.0,1333.236,952.262,1.0,1429.57,957.184,1.0
101,1398.642,913.256,1.0,1436.617,938.82,0.9990000128746033,1362.16,939.595,1.0,1335.362,954.734,1.0,1430.742,955.826,1.0
102,1398.935,913.439,1.0,1437.771,933.773,1.0,1365.28,931.643,1.0,1336.639,951.969,1.0,1432.733,953.635,1.0
103,1399.261,915.711,1.0,1437.968,933.685,1.0,1367.019,934.509,1.0,1339.878,958.679,1.0,1433.613,954.667,1.0
104,1399.046,916.547,1.0,1438.448,934.066,1.0,1366.88,943.18,1.0,1344.827,957.889,1.0,1434.692,954.558,1.0
105,1399.978,917.528,1.0,1437.654,932.948,0.9950000047683716,1367.374,944.686,1.0,1353.289,967.602,1.0,1437.928,954.395,1.0
106,1399.571,916.915,1.0,1439.847,926.594,0.9950000047683716,1366.882,945.047,1.0,1357.416,970.55,1.0,1442.218,954.629,1.0
107,1399.918,917.573,1.0,1439.681,925.357,0.9990000128746033,1368.919,945.151,1.0,1355.867,972.787,1.0,1440.473,953.849,1.0
108,1399.976,918.179,1.0,1441.441,925.393,1.0,1369.936,947.947,1.0,1351.653,974.28,1.0,1441.608,954.278,1.0
109,1401.326,918.262,1.0,1440.378,925.699,1.0,1372.513,950.112,1.0,1352.231,977.835,1.0,1443.189,952.629,1.0
110,1401.501,918.35,1.0,1440.22,925.864,1.0,1374.315,950.261,1.0,1350.148,977.326,1.0,1443.781,952.469,1.0
111,1400.905,918.639,1.0,1440.108,925.924,1.0,1375.688,949.808,1.0,1353.708,979.386,1.0,1443.326,952.792,1.0
112,1400.544,918.926,1.0,1440.659,925.876,1.0,1377.013,949.167,1.0,1352.965,980.271,1.0,1443.511,952.532,1.0
113,1399.627,920.891,1.0,1440.864,925.622,1.0,1376.868,949.561,1.0,1354.329,979.257,1.0,1443.403,952.529,1.0
114,1400.478,919.278,1.0,1441.033,925.497,1.0,1373.672,947.417,1.0,1361.445,984.214,1.0,1443.607,952.394,1.0
115,1399.972,919.876,1.0,1440.549,925.438,1.0,1375.489,947.716,1.0,1362.148,984.229,1.0,1443.434,951.696,1.0
116,1401.475,917.646,1.0,1440.766,925.94,1.0,1378.203,948.269,1.0,1361.051,980.235,1.0,1443.017,951.374,1.0
117,1401.302,918.162,1.0,1440.814,926.092,1.0,1380.547,950.576,1.0,1364.128,972.716,1.0,1442.857,950.919,1.0
118,1402.038,917.528,1.0,1440.692,925.582,1.0,1381.89,953.198,1.0,1365.27,973.235,1.0,1443.17,950.815,1.0
119,1401.916,917.371,1.0,1440.567,925.558,1.0,1380.969,952.982,1.0,1368.385,973.708,1.0,1443.691,950.307,1.0
120,1401.242,918.344,1.0,1441.021,925.721,1.0,1381.463,955.69,1.0,1365.366,972.503,1.0,1443.928,950.953,1.0
121,1400.958,918.297,1.0,1440.624,925.448,1.0,1381.598,955.667,1.0,1365.505,972.206,1.0,1444.169,950.848,1.0
122,1399.165,919.454,1.0,1440.479,925.73,1.0,1381.677,955.561,1.0,1367.176,972.23,1.0,1443.723,951.19,1.0
123,1399.665,918.931,1.0,1440.778,925.501,1.0,1382.068,955.966,1.0,1366.806,972.287,1.0,1443.611,950.882,1.0
124,1398.591,919.966,1.0,1440.765,925.586,1.0,1382.796,956.135,1.0,1367.119,972.199,1.0,1443.069,950.919,1.0
125,1398.356,919.91,1.0,1440.993,925.213,1.0,1382.673,956.429,1.0,1364.885,971.935,1.0,1443.119,950.093,1.0
126,1399.596,919.51,1.0,1440.605,925.205,1.0,1382.129,955.603,1.0,1362.852,971.058,1.0,1442.677,950.54,1.0
127,1402.176,918.872,1.0,1440.883,925.003,1.0,1379.359,947.976,1.0,1353.304,962.128,1.0,1443.041,950.161,1.0
128,1402.436,920.024,1.0,1440.544,924.819,1.0,1376.853,945.649,1.0,1349.557,958.078,1.0,1442.619,950.461,1.0
129,1402.785,920.065,1.0,1440.559,925.678,1.0,1376.447,945.525,1.0,1345.918,954.341,1.0,1442.459,951.129,1.0
130,1403.993,918.616,1.0,1440.733,925.855,1.0,1379.197,943.568,1.0,1354.071,950.92,1.0,1442.804,951.612,1.0
131,1404.224,917.38,1.0,1440.92,925.244,1.0,1379.427,940.399,1.0,1354.342,949.446,1.0,1443.026,951.812,1.0
132,1403.679,917.285,1.0,1440.44,925.617,1.0,1378.404,938.337,1.0,1347.056,948.573,1.0,1442.881,951.955,1.0
133,1402.863,917.527,1.0,1440.567,926.216,1.0,1376.564,938.532,1.0,1341.216,950.896,1.0,1442.849,952.314,1.0
134,1402.168,919.011,1.0,1440.225,926.135,1.0,1373.453,941.069,1.0,1341.458,948.903,1.0,1442.597,951.827,1.0
135,1399.82,920.123,1.0,1439.599,925.857,1.0,1369.833,942.131,1.0,1335.594,948.273,1.0,1442.345,951.251,1.0
136,1399.427,919.519,1.0,1439.047,925.835,1.0,1367.444,943.688,1.0,1338.925,951.054,1.0,1441.973,950.914,1.0
137,1398.525,919.859,1.0,1438.685,925.982,1.0,1369.028,943.23,1.0,1335.516,953.149,1.0,1441.303,951.021,1.0
138,1396.878,921.166,1.0,1438.676,926.433,1.0,1368.826,943.239,1.0,1327.795,951.966,1.0,1441.288,951.253,1.0
139,1393.639,923.082,1.0,1438.883,926.531,1.0,1362.532,947.389,1.0,1328.657,955.823,1.0,1441.92,950.823,1.0
140,1391.815,923.827,1.0,1438.632,927.284,1.0,1359.818,949.151,1.0,1321.308,955.002,1.0,1441.095,951.661,1.0
141,1390.104,926.282,1.0,1438.921,927.474,1.0,1354.708,948.025,1.0,1314.815,952.015,1.0,1441.305,952.567,1.0
142,1386.421,925.441,1.0,1436.46,926.33,1.0,1351.84,947.452,1.0,1309.593,952.457,1.0,1441.4,949.106,1.0
143,1385.372,926.261,1.0,1436.154,925.356,1.0,1344.999,948.285,1.0,1311.68,957.969,1.0,1440.333,948.571,1.0
144,1384.725,925.846,1.0,1436.93,924.391,1.0,1344.507,951.505,1.0,1302.309,961.26,1.0,1442.639,949.384,1.0
145,1385.417,929.346,1.0,1434.869,919.411,1.0,1338.05,948.875,1.0,1302.815,965.058,1.0,1442.784,944.554,1.0
146,1382.642,932.048,1.0,1434.482,918.695,1.0,1332.868,950.686,1.0,1294.298,969.416,1.0,1443.11,943.364,1.0
147,1377.815,934.818,1.0,1430.625,920.001,1.0,1328.567,954.494,1.0,1296.127,970.788,1.0,1442.957,941.351,1.0
148,1376.514,935.527,1.0,1429.949,920.127,1.0,1328.695,954.221,1.0,1294.018,970.663,1.0,1442.798,940.986,1.0
149,1376.652,934.167,1.0,1430.055,919.056,1.0,1328.346,954.444,1.0,1294.881,967.361,1.0,1442.66,940.135,1.0
150,1376.149,934.444,1.0,1430.014,919.15,1.0,1329.785,954.385,1.0,1295.406,969.645,1.0,1444.341,937.142,1.0
151,1376.071,934.379,1.0,1430.458,919.235,1.0,1329.603,954.119,1.0,1296.214,970.524,1.0,1444.436,937.551,1.0
152,1375.924,934.252,1.0,1430.629,919.513,1.0,1329.11,953.806,1.0,1296.625,974.13,1.0,1444.528,938.102,1.0
153,1375.904,934.241,1.0,1430.507,919.423,1.0,1328.695,953.914,1.0,1296.608,974.494,1.0,1444.457,938.101,1.0
154,1375.68,933.842,1.0,1430.26,918.89,1.0,1328.685,954.521,1.0,1296.487,974.547,1.0,1444.276,937.279,1.0
155,1375.575,933.99,1.0,1430.321,919.023,1.0,1328.755,955.05,1.0,1297.434,975.051,1.0,1444.239,937.481,1.0
156,1375.262,934.168,1.0,1430.217,918.953,1.0,1329.357,955.401,1.0,1294.006,976.968,1.0,1444.174,937.391,1.0
157,1375.317,934.195,1.0,1430.038,918.613,1.0,1329.17,956.287,1.0,1294.227,976.737,1.0,1444.271,936.779,1.0
158,1375.606,934.269,1.0,1429.899,918.409,1.0,1329.855,956.212,1.0,1294.161,976.342,1.0,1444.107,936.377,1.0
159,1376.688,933.594,1.0,1430.335,920.493,1.0,1335.311,954.578,1.0,1297.191,966.173,1.0,1442.663,939.013,1.0
160,1379.717,931.438,1.0,1429.739,920.475,1.0,1339.025,951.761,1.0,1301.153,953.499,1.0,1442.704,939.064,1.0
161,1381.511,930.585,1.0,1431.589,919.603,1.0,1344.361,951.337,1.0,1306.413,947.218,1.0,1442.609,939.779,1.0
162,1383.591,928.908,1.0,1431.586,917.773,1.0,1344.865,948.034,1.0,1300.588,943.06,1.0,1444.66,936.505,1.0
163,1383.597,929.6,1.0,1432.87,918.442,1.0,1345.041,945.578,1.0,1300.674,938.317,1.0,1443.062,940.349,1.0
164,1385.57,926.688,1.0,1433.049,918.447,1.0,1345.615,940.949,1.0,1306.112,934.864,1.0,1443.303,941.226,1.0
165,1385.504,926.773,1.0,1432.984,918.809,1.0,1345.956,937.171,1.0,1302.119,932.47,1.0,1443.259,940.861,1.0
166,1384.334,929.103,1.0,1433.189,919.084,1.0,1344.144,938.002,1.0,1301.138,933.025,1.0,1443.426,940.34,1.0
167,1384.492,928.416,1.0,1433.094,918.754,1.0,1344.731,937.99,1.0,1306.611,932.359,1.0,1443.26,940.34,1.0
